Citation	Brief URL	Context	Verification Source	Confidence	Explanation
1998 WL 864012 (10th Cir. Dec. 14, 1998)	https://www.justice.gov/osg/media/1397206/dl?inline	0  Scarborough  v. Principi , 541 U.S. 401 (2004)  ..................  6, 7  Smith  v. Barry , 502 U.S. 244 (1992)  ........................  13, 14, 17   United States  v. Marshall , 166 F.3d 349,   1998 WL 864012 (10th Cir. Dec. 14, 1998),   cert. denied, 528 U.S. 861 (1999)  ................................ ....... 16  Winters  v. Taskila , 88 F.4th 665 (6th Cir. 2023)  ..................  9  Wood  v. Milyard , 566 U.S. 463 (2012)  .	Google Scholar	0.6	Citation found on Google Scholar: Acevedo v. Superintendent
6029 Doc. 2 (Jan. 5, 2022)	https://www.justice.gov/osg/media/1397206/dl?inline	 between the transmission of the record and the appoint- 17   ment of counsel appears to be within the normal range  for that process in the Fourth Circuit.  See, e.g., Hen- derson v. Harmon , No. 22-6029 Doc. 2 (Jan. 5, 2022),  and Doc. 22 (Aug. 22, 2023) (more than one-and-a-half  year s between appeal docketing  and appointment of  counsel); Tate  v. Harmon , No. 21 -6109 Doc. 3 (Jan. 21,  2021), and Doc. 23 -1 (Feb. 10	Google Scholar	0.6	Citation found on Google Scholar: Griggs v. Duke Power Co.
1999 WL 265286 (7th Cir. 1999)	https://www.justice.gov/osg/media/1397211/dl?inline	........................... .........  15, 16   United States  v. Jumah ,   431 Fed. Appx. 494 (7th Cir. 2011)  ................................ .... 21  United States  v. Moreland , 175 F.3d 1021,   1999 WL 265286 (7th Cir. 1999)  ................................ ........  21  United States  v. Peña , 58 F.4th 613 (2d Cir.),   cert. denied, 144 S. Ct. 147 (2023)  ................................ ..... 17  Wainwright  v. Sykes	Google Scholar	0.6	Citation found on Google Scholar: Tamayo v. Blagojevich
2023 WL 119577 (4th Cir. Jan. 6, 2023)	https://www.justice.gov/osg/media/1397266/dl?inline	....................... ...............  11  United States  v. Gladden ,  78 F.4th 1232 (11th Cir. 2023)  ................................ ....... 6, 14   United States  v. Limbaugh , No. 21 -4449,   2023 WL 119577 (4th Cir. Jan. 6, 2023)  ............................  11  United States  v. Prasad ,  18 F.4th 313 (9th Cir. 2021)  ................................ ...............  12  United States  v. Shah , 95 F.4th 328 (5th Cir. 2024	Google Scholar	0.6	Citation found on Google Scholar: Clark v. A&L HOMECARE AND TRAINING CENTER, LLC
8 U.S.C. 1153 (2018 & Supp. IV 2022)	https://www.justice.gov/osg/media/1397271/dl?inline	....................... ... 6      IV   Statutes and regulations:  Page   Immigration and Nationality Act,   8 U.S.C. 1101 et seq.  ................................ ..............................  1  8 U.S.C. 1153 (2018 & Supp. IV 2022)  .............................  1  8 U.S.C. 1252  ................................ ................................ ...... 8  8 U.S.C. 1252(a)(2)(B)  ................................ ..........  5-7,	Google Scholar	0.6	Citation found on Google Scholar: United States v. Lopez
2024 WL 4529794 (U.S. Oct. 21, 2024)	https://www.justice.gov/osg/media/1398321/dl?inline	) (per curiam).   But the Fifth Circuit has since clarified that the EPA  misread its precedent.  See Calumet Shreveport Refin.,  L.L.C. v. EPA , 86 F.4th 1121, 1131 (5th Cir. 2023), cert.  granted , 2024 WL 4529794 (U.S. Oct. 21, 2024).  True,  a regulation can be “nationally applicable” if its “ legal  effect” applies to the whole country —even if its practi- cal effect is felt only by a subset of States.  Id.  The  EPA could, for	Google Scholar	0.6	Citation found on Google Scholar: Kentucky v. US Environmental Protection Agency
47 U.S.C. 227(b)(2) (2018 & Supp. IV 2022)	https://www.justice.gov/osg/media/1388171/dl?inline	.................... .... 3  47 U.S.C. 227(a)(3)  ................................ .......................  3, 8a   47 U.S.C. 227(b)(1)(C)  ................................ .................  3, 9a   47 U.S.C. 227(b)(2) (2018 & Supp. IV 2022)  ....................  3  47 U.S.C. 227(b)(3)  ................................ ............................  4  47 U.S.C. 227(c)(5)  ................................ .............................  4	Google Scholar	0.6	Citation found on Google Scholar: New York State Rifle & Pistol Assn, Inc. v. Bruen
1990 WL 10608981 (Jan. 8, 1990)	https://www.justice.gov/osg/media/1388296/dl?inline	....................... ................................ ...................  17  TABLE OF AUTHORITIES   Cases:    Certain Concealed Cabinet Hinges & Mounting  Plates, In re , Inv. No. 337 -TA-289,   1990 WL 10608981 (Jan. 8, 1990)  ................................ ...... 15  InterDigital Commc’ns, LLC v. ITC,   707 F.3d 1295 (Fed. Cir. 2013)  .............................  3, 6, 11, 14   Lamar, Archer & Cofrin, LLP v. Appling 	Google Scholar	0.6	Citation found on Google Scholar: Lelo Inc. v. INTERNATIONAL TRADE COM'N
389 U.S. 977 (1967)	https://www.justice.gov/osg/media/1388626/dl?inline	............... .......................  14  Fahey  v. Mallonee, 332 U.S. 245 (1947)  ..............................  31  Farkas  v. Texas Instrument, Inc. ,  375 F.2d 629 (5th Cir.), cert. denied,   389 U.S. 977 (1967)  ................................ .......................  14  Gamble v. United States , 587 U.S. 678 (2019)  ....................  31  Georgia  v. President of the United States ,  46 F.4th 1283 ( 1	Google Scholar	0.6	Citation found on Google Scholar: Bershad v. McDonough
10 U.S.C. 2733 (2018 & Supp. IV 2022)	https://www.justice.gov/osg/media/1389196/dl?inline	................. .....................  15  Little Tucker Act, 28 U.S.C. 1346(a)(2)  ...........................  6, 17   Military Claims Act, 10 U.S.C. 2731 et seq.  ...........................  9  10 U.S.C. 2733 (2018 & Supp. IV 2022)  ...........................  9  National Defense Authorization Act for Fiscal Year  2008, Pub. L. No. 110 -181, Div. A, Tit. VI,   § 641, 122 Stat. 156  ................................ ............	Google Scholar	0.6	Citation found on Google Scholar: University of California Regents v. Bakke
